machine_id,reading_no,hours_since_start,load,temperature,vibration_rms,shaft_speed_rpm,post_inspection_RUL_estimate_hours,remaining_life_hours
M06,41,163.292,38.903,35.208,2.3753,1571.95,90.225,90.13
M06,42,167.274,37.67,35.507,2.3789,1575.48,83.8,84.709
M06,43,171.257,46.87,37.393,2.8166,1580.38,80.962,81.616
M06,44,175.24,41.673,37.214,2.6341,1588.85,79.031,79.617
M06,45,179.223,43.295,37.465,2.8709,1581.29,76.398,75.912
M06,46,183.205,45.235,38.554,3.1167,1582.08,72.088,72.395
M06,47,187.188,49.607,38.613,3.2759,1577.03,68.783,68.566
M06,48,191.171,47.942,39.745,3.1379,1591.47,66.891,67.143
M06,49,195.153,47.069,39.131,3.3178,1594.13,58.613,59.973
M06,50,199.136,49.343,40.561,3.6106,1596.88,58.502,58.11
M06,51,203.119,48.581,40.073,3.8693,1593.28,53.685,54.351
M06,52,207.102,49.676,40.809,3.8616,1588.76,49.807,50.918
M06,53,211.084,50.72,41.809,4.0342,1592.28,48.412,48.422
M06,54,215.067,49.967,41.663,3.833,1604.47,45.872,45.395
M07,0,0.0,41.882,35.07,0.9049,1735.62,237.336,236.676
M07,1,3.339,42.553,36.464,0.7006,1747.83,235.337,236.331
M07,2,6.677,45.007,35.852,1.0173,1749.67,232.335,233.715
M07,3,10.016,45.285,35.875,0.8097,1750.75,228.895,228.128
M07,4,13.355,47.034,37.895,0.87,1771.89,223.636,224.129
M07,5,16.693,44.196,38.201,0.6298,1742.4,219.87,219.598
M07,6,20.032,45.389,37.146,0.9346,1751.69,219.76,219.229
M07,7,23.371,45.835,37.276,0.6016,1743.54,214.769,214.712
M07,8,26.709,46.861,37.26,0.6137,1756.7,209.831,209.424
M07,9,30.048,44.921,38.118,0.977,1758.75,208.185,208.281
M07,10,33.386,46.152,38.549,0.9171,1762.16,203.477,203.345
M07,11,36.725,47.66,37.896,1.0258,1765.34,199.813,201.622
M07,12,40.064,47.923,39.337,0.8538,1745.68,198.776,199.055
M07,13,43.402,50.028,39.759,0.9135,1751.03,192.709,192.319
M07,14,46.741,48.749,39.113,1.0684,1760.71,190.241,190.178
M07,15,50.08,46.946,39.027,1.0879,1764.7,185.133,185.942
M07,16,53.418,45.946,38.447,1.3057,1759.17,182.651,182.229
M07,17,56.757,45.592,39.115,1.0106,1775.15,179.278,180.077
M07,18,60.096,45.207,39.996,1.1456,1761.77,174.199,174.294
M07,19,63.434,49.365,39.748,1.1087,1756.47,169.727,170.669
M07,20,66.773,42.426,39.019,1.1233,1752.43,168.072,168.919
M07,21,70.112,42.766,38.159,1.2524,1754.13,162.925,162.248
M07,22,73.45,40.42,38.787,1.3798,1739.52,159.697,159.092
M07,23,76.789,46.234,39.443,1.2134,1731.04,157.575,158.425
M07,24,80.128,39.173,38.297,1.3536,1732.53,151.766,151.285
M07,25,83.466,40.177,38.777,1.5981,1736.79,148.147,150.01
M07,26,86.805,34.739,36.938,1.3514,1737.42,146.102,144.091
M07,27,90.143,38.987,38.587,1.3176,1727.37,142.938,142.765
M07,28,93.482,36.569,37.532,1.5003,1732.54,134.964,135.504
M07,29,96.821,36.6,38.003,1.6754,1734.98,133.914,134.37
M07,30,100.159,37.23,39.312,1.6954,1724.54,132.93,131.638
M07,31,103.498,33.978,37.608,1.5919,1726.16,129.347,129.996
M07,32,106.837,35.716,37.893,1.7805,1718.16,120.347,121.447
M07,33,110.175,35.773,38.81,2.054,1727.43,120.859,120.374
M07,34,113.514,32.96,37.199,1.7598,1734.2,114.714,114.753
M07,35,116.853,33.912,37.747,2.0746,1718.13,111.187,112.58
M07,36,120.191,37.003,38.749,1.8187,1714.93,110.422,110.476
M07,37,123.53,34.357,36.837,2.1296,1718.84,108.192,107.158
M07,38,126.869,37.609,40.391,2.3796,1721.43,97.605,99.982
M07,39,130.207,37.828,40.77,2.3811,1718.15,97.534,96.926
M07,40,133.546,34.546,38.464,2.4016,1716.62,94.759,94.128
M07,41,136.885,39.245,42.243,2.3028,1696.61,91.612,92.159
M07,42,140.223,42.265,42.133,2.8277,1722.37,84.625,84.167
M07,43,143.562,42.027,40.586,2.8122,1741.89,84.481,84.034
M07,44,146.9,43.891,43.218,2.9233,1721.92,84.121,81.549
M07,45,150.239,41.325,41.315,2.8703,1724.76,72.296,75.058
M07,46,153.578,43.915,42.895,3.2817,1725.33,73.169,71.878
M07,47,156.916,45.631,43.518,3.3089,1733.74,69.765,69.269
M07,48,160.255,44.152,42.988,3.497,1737.09,66.193,65.773
M07,49,163.594,47.693,44.706,3.0541,1736.38,61.238,63.457
M07,50,166.932,46.356,42.814,3.3166,1746.78,60.383,60.122
M07,51,170.271,45.545,44.742,3.9309,1741.95,55.263,54.214
M07,52,173.61,49.895,45.239,3.4789,1742.22,52.688,51.877
M07,53,176.948,46.88,45.41,4.0778,1740.61,46.154,45.503
M07,54,180.287,47.338,43.242,3.8031,1750.02,44.387,44.237
M08,0,0.0,61.259,41.343,0.9236,1901.52,195.966,195.177
M08,1,3.009,58.676,41.281,1.1322,1894.14,184.383,186.822
M08,2,6.017,58.592,41.348,0.9301,1897.85,187.114,186.323
M08,3,9.026,59.758,40.918,0.8904,1905.36,181.03,180.361
M08,4,12.034,61.454,41.295,1.0669,1886.46,181.748,181.439
M08,5,15.043,59.909,41.985,0.9577,1900.73,176.106,175.517
M08,6,18.051,64.795,43.293,0.9628,1908.44,171.626,173.273
M08,7,21.06,62.638,42.755,0.9639,1888.93,173.048,171.472
M08,8,24.068,60.875,42.694,1.1998,1918.27,164.944,165.576
M08,9,27.077,59.402,44.088,0.9823,1895.72,165.712,166.148
M08,10,30.085,66.506,45.016,1.0546,1928.39,164.291,162.469
M08,11,33.094,66.354,45.072,1.1731,1904.03,156.17,157.128
M08,12,36.103,64.79,44.994,1.1436,1920.47,155.602,155.031
